Title,Year
Provable Acceleration of Heavy Ball beyond Quadratics for a Class of Polyak-Lojasiewicz Functions when the Non-Convexity is Averaged-Out,2022
Structure Preserving Neural Networks: A Case Study in the Entropy Closure of the Boltzmann Equation,2022
Learning to Estimate and Refine Fluid Motion with Physical Dynamics,2022
Particle Transformer for Jet Tagging,2022
NeuroFluid: Fluid Dynamics Grounding with Particle-Driven Neural Radiance Fields,2022
GALAXY: Graph-based Active Learning at the Extreme,2022
Pessimistic Minimax Value Iteration: Provably Efficient Equilibrium Learning from Offline Datasets,2022
Learning-based Optimisation of Particle Accelerators Under Partial Observability Without Real-World Training,2022
BEVFusion: A Simple and Robust LiDAR-Camera Fusion Framework,2022
[Re] Reproducibility Report: Contrastive Learning of Socially-aware Motion Representations,2022
Learning Optimal Flows for Non-Equilibrium Importance Sampling,2022
Contact-aware Human Motion Forecasting,2022
Concentration of Data Encoding in Parameterized Quantum Circuits,2022
GAR: Generalized Autoregression for Multi-Fidelity Fusion,2022
Align then Fusion: Generalized Large-scale Multi-view Clustering with Anchor Matching Correspondences,2022
HUMANISE: Language-conditioned Human Motion Generation in 3D Scenes,2022
GraphQNTK: Quantum Neural Tangent Kernel for Graph Data,2022
Path Independent Equilibrium Models Can Better Exploit Test-Time Computation,2022
To update or not to update? Neurons at equilibrium in deep models,2022
QUARK: Controllable Text Generation with Reinforced Unlearning,2022
Holomorphic Equilibrium Propagation Computes Exact Gradients Through Finite Size Oscillations,2022
Deep Equilibrium Approaches to Diffusion Models,2022
Finding Correlated Equilibrium of Constrained Markov Game: A Primal-Dual Approach,2022
The First Optimal Acceleration of High-Order Methods in Smooth Convex Optimization,2022
Quantum Speedups of Optimizing Approximately Convex Functions with Applications to Logarithmic Regret Stochastic Convex Bandits,2022
Re-Analyze Gauss: Bounds for Private Matrix Approximation via Dyson Brownian Motion,2022
Hamiltonian Latent Operators for content and motion disentanglement in image sequences,2022
Distributionally Robust Optimization via Ball Oracle Acceleration,2022
Self-supervised surround-view depth estimation with volumetric feature fusion,2022
Escaping from the Barren Plateau via Gaussian Initializations in Deep Variational Quantum Circuits,2022
Constants of motion network,2022
The least-control principle for local learning at equilibrium,2022
Guaranteed Conservation of Momentum for Learning Particle-based Fluid Dynamics,2022
A Closer Look at the Adversarial Robustness of Deep Equilibrium Models,2022
Unsupervised Multi-Object Segmentation by Predicting Probable Motion Patterns,2022
Learning Two-Player Markov Games: Neural Function Approximation and Correlated Equilibrium,2022
Do Current Multi-Task Optimization Methods in Deep Learning Even Help?,2022
Panchromatic and Multispectral Image Fusion via Alternating Reverse Filtering Network,2022
NeMF: Neural Motion Fields for Kinematic Animation,2022
Physics-Informed Implicit Representations of Equilibrium Network Flows,2022
Learning Individualized Treatment Rules with Many Treatments: A Supervised Clustering Approach Using Adaptive Fusion,2022
Sobolev Acceleration and Statistical Optimality for Learning Elliptic Equations via Gradient Descent,2022
Systematic improvement of neural network quantum states using Lanczos,2022
Acceleration in Distributed Sparse Regression,2022
Communication Acceleration of Local Gradient Methods via an Accelerated Primal-Dual Algorithm with an Inexact Prox,2022
Power and limitations of single-qubit native quantum neural networks,2022
Matrix Multiplicative Weights Updates in Quantum Zero-Sum Games: Conservation Laws & Recurrence,2022
Quantum Algorithms for Sampling Log-Concave Distributions and Estimating Normalizing Constants,2022
Optimal and Adaptive Monteiro-Svaiter Acceleration,2022
Learning-based Motion Planning in Dynamic Environments Using GNNs and Temporal Encoding,2022
Toward Equation of Motion for Deep Neural Networks: Continuous-time Gradient Descent and Discretization Error Analysis,2022
Differentiable Analog Quantum Computing for Optimization and Control,2022
Online Deep Equilibrium Learning for Regularization by Denoising,2022
Motion Transformer with Global Intention Localization and Local Movement Refinement,2022
Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone,2022
"Turbocharging Solution Concepts: Solving NEs, CEs and CCEs with Neural Equilibrium Solvers",2022
Dataless Knowledge Fusion by Merging Weights of Language Models,2023
Unbiased Stochastic Proximal Solver for Graph Neural Networks with Equilibrium States,2023
Stochastic Multi-Person 3D Motion Forecasting,2023
Continuized Acceleration for Quasar Convex Functions  in Non-Convex Optimization,2023
BEEF: Bi-Compatible Class-Incremental Learning via Energy-Based Expansion and Fusion,2023
MaskFusion: Feature Augmentation for Click-Through Rate Prediction via Input-adaptive Mask Fusion,2023
DiffMimic: Efficient Motion Mimicking with Differentiable Physics,2023
Symmetric Pruning in Quantum Neural Networks,2023
Model ensemble instead of prompt fusion: a sample-specific knowledge transfer method for few-shot prompt tuning,2023
Pseudo-label Training and Model Inertia in Neural Machine Translation,2023
Statistical Inference for Fisher Market Equilibrium,2023
Win: Weight-Decay-Integrated Nesterov Acceleration for Adaptive Gradient Algorithms,2023
"Backpropagation at the Infinitesimal Inference Limit of Energy-Based Models: Unifying Predictive Coding, Equilibrium Propagation, and Contrastive Hebbian Learning",2023
Capturing the Motion of Every Joint: 3D Human Pose and Shape Estimation with Independent Tokens,2023
"On the Convergence of AdaGrad(Norm) on $\mathbb{R}^d$: Beyond Convexity, Non-Asymptotic Rate and Acceleration",2023
Sparsity May Cry: Let Us Fail (Current) Sparse Neural Networks Together!,2023
Human Motion Diffusion Model,2023
NTFields: Neural Time Fields for Physics-Informed Robot Motion Planning,2023
MLPInit: Embarrassingly Simple GNN Training Acceleration with MLP Initialization,2023
The Symmetric Generalized Eigenvalue Problem as a Nash Equilibrium,2023
QuAnt: Quantum Annealing with Learnt Couplings,2023
Classically Approximating Variational Quantum Machine Learning with Random Fourier Features,2023
Compositional Prompt Tuning with Motion Cues for Open-vocabulary Video Relation Detection,2023
A Self-Attention Ansatz for Ab-initio Quantum Chemistry,2023
Particle-based Variational Inference with Preconditioned Functional Gradient Flow,2023
Generative Causal Representation Learning for Out-of-Distribution Motion Forecasting,2023
QuantumDARTS: Differentiable Quantum Architecture Search for Variational Quantum Algorithms,2023
Quantum Lower Bounds for Finding Stationary Points of Nonconvex Functions,2023
Learning Distributions over Quantum Measurement Outcomes,2023
Hardness of Independent Learning and Sparse Equilibrium Computation in Markov Games,2023
Analyzing Convergence in Quantum Neural Networks: Deviations from Neural Tangent Kernels,2023
Learning Neural Constitutive Laws from Motion Observations for Generalizable PDE Dynamics,2023
State and parameter learning with PARIS particle Gibbs,2023
Semi Bandit dynamics in Congestion Games: Convergence to Nash Equilibrium and No-Regret Guarantees.,2023
Near-Optimal Quantum Coreset Construction Algorithms for Clustering,2023
Achieving Hierarchy-Free Approximation for Bilevel Programs with Equilibrium Constraints,2023
Principled Acceleration of Iterative Numerical Methods Using Machine Learning,2023
Efficient and Equivariant Graph Networks for Predicting Quantum Hamiltonian,2023
Accelerated Stochastic Optimization Methods under Quasar-convexity,2023
FusionRetro: Molecule Representation Fusion via In-Context Learning for Retrosynthetic Planning,2023
End-to-end Training of Deep Boltzmann Machines by Unbiased Contrastive Divergence with Local Mode Initialization,2023
Enabling First-Order Gradient-Based Learning for Equilibrium Computation in Markets,2023
A Hybrid Quantum-Classical Approach based on the Hadamard Transform for the Convolutional Layer,2023
Oscillation-free Quantization for Low-bit Vision Transformers,2023
Quantum Speedups for Zero-Sum Games via Improved Dynamic Gibbs Sampling,2023
Provable Dynamic Fusion for Low-Quality Multimodal Data,2023
Stabilizing GANs' Training with Brownian Motion Controller,2023
Motion Question Answering via Modular Motion Programs,2023
QAS-Bench: Rethinking Quantum Architecture Search and A Benchmark,2023
Are Equivariant Equilibrium Approximators Beneficial?,2023
Quantum Policy Gradient Algorithm with Optimized Action Decoding,2023
Quantum Ridgelet Transform: Winning Lottery Ticket of Neural Networks with Quantum Computation,2023
Quantum 3D Graph Learning with Applications to Molecule Embedding,2023
Efficient Quantum Algorithms for Quantum Optimal Control,2023
Representation Learning with Multi-Step Inverse Kinematics: An Efficient and Optimal Approach to Rich-Observation RL,2023
Improving Adversarial Robustness of Deep Equilibrium Models with Explicit Regulations Along the Neural Dynamics,2023
NTK-approximating MLP Fusion for Efficient Language Model Fine-tuning,2023
Towards Quantum Machine Learning for Constrained Combinatorial Optimization: a Quantum QAP Solver,2023
FREDIS: A Fusion Framework of Refinement and Disambiguation for Unreliable Partial Label Learning,2023
Efficient displacement convex optimization with particle gradient descent,2023
Q-Flow: Generative Modeling for Differential Equations of Open Quantum Dynamics with Normalizing Flows,2023
Is Consensus Acceleration Possible in Decentralized Optimization over Slowly Time-Varying Networks?,2023
RH-BrainFS: Regional Heterogeneous Multimodal Brain Networks Fusion Strategy,2023
Query-based Temporal Fusion with Explicit Motion for 3D Object Detection,2023
ANTN: Bridging Autoregressive Neural Networks and Tensor Networks for Quantum Many-Body Simulation,2023
Classical Simulation of Quantum Circuits: Parallel Environments and Benchmark,2023
SUPA: A Lightweight Diagnostic Simulator for Machine Learning in Particle Physics,2023
Hierarchical Semi-Implicit Variational Inference with Application to Diffusion Model Acceleration,2023
Logarithmic-Regret Quantum Learning Algorithms for Zero-Sum Games,2023
Monte Carlo Tree Search with Boltzmann Exploration,2023
The Best of Both Worlds in Network Population Games: Reaching Consensus and Convergence to Equilibrium,2023
GeoTMI: Predicting Quantum Chemical Property with Easy-to-Obtain Geometry via Positional Denoising,2023
Multi-body SE(3) Equivariance for Unsupervised Rigid Segmentation and Motion Estimation,2023
Learning Neural Implicit through Volume Rendering with Attentive Depth Fusion Priors,2023
Hierarchical VAEs provide a normative account of motion processing in the primate brain,2023
Accelerating Motion Planning via Optimal Transport,2023
VideoComposer: Compositional Video Synthesis with Motion Controllability,2023
Exploiting Connections between Lipschitz Structures for Certifiably Robust Deep Equilibrium Models,2023
What Makes Data Suitable for a Locally Connected Neural Network? A Necessary and Sufficient Condition Based on Quantum Entanglement.,2023
Self-Adaptive Motion Tracking against On-body Displacement of Flexible Sensors,2023
A Finite-Particle Convergence Rate for Stein Variational Gradient Descent,2023
Pointwise uncertainty quantification for sparse variational Gaussian process regression with a Brownian motion prior,2023
Exploiting hidden structures in non-convex games for convergence to Nash equilibrium,2023
Statistical Analysis of Quantum State Learning Process in Quantum Neural Networks,2023
Timewarp: Transferable Acceleration of Molecular Dynamics by Learning Time-Coarsened Dynamics,2023
FineMoGen: Fine-Grained Spatio-Temporal Motion Generation and Editing,2023
Echoes Beyond Points: Unleashing the Power of Raw Radar Data in Multi-modality Fusion,2023
EgoDistill: Egocentric Head Motion Distillation for Efficient Video Understanding,2023
QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,2023
SUBP: Soft Uniform Block Pruning for 1$\times$N Sparse CNNs Multithreading Acceleration,2023
